  Assembling JAAsm.asm...
JAAsm.asm(1): error A2008: syntax error : section
JAAsm.asm(2): error A2008: syntax error : global
JAAsm.asm(14): error A2034: must be in segment block
JAAsm.asm(15): error A2034: must be in segment block
JAAsm.asm(16): error A2034: must be in segment block
JAAsm.asm(17): error A2034: must be in segment block
JAAsm.asm(18): error A2034: must be in segment block
JAAsm.asm(19): error A2034: must be in segment block
JAAsm.asm(20): error A2034: must be in segment block
JAAsm.asm(21): error A2034: must be in segment block
JAAsm.asm(24): error A2034: must be in segment block
JAAsm.asm(26): error A2034: must be in segment block
JAAsm.asm(28): error A2034: must be in segment block
JAAsm.asm(29): error A2034: must be in segment block
JAAsm.asm(32): error A2034: must be in segment block
JAAsm.asm(33): error A2034: must be in segment block
JAAsm.asm(34): error A2034: must be in segment block
JAAsm.asm(35): error A2034: must be in segment block
JAAsm.asm(36): error A2034: must be in segment block
JAAsm.asm(37): error A2034: must be in segment block
JAAsm.asm(38): error A2034: must be in segment block
JAAsm.asm(41): error A2034: must be in segment block
JAAsm.asm(42): error A2034: must be in segment block
JAAsm.asm(45): error A2034: must be in segment block
JAAsm.asm(48): error A2034: must be in segment block
JAAsm.asm(51): error A2034: must be in segment block
JAAsm.asm(52): error A2034: must be in segment block
JAAsm.asm(53): error A2034: must be in segment block
JAAsm.asm(54): error A2034: must be in segment block
JAAsm.asm(57): error A2034: must be in segment block
JAAsm.asm(60): error A2034: must be in segment block
JAAsm.asm(61): error A2034: must be in segment block
JAAsm.asm(63): error A2034: must be in segment block
JAAsm.asm(65): error A2034: must be in segment block
JAAsm.asm(68): error A2034: must be in segment block
JAAsm.asm(69): error A2034: must be in segment block
JAAsm.asm(70): error A2034: must be in segment block
JAAsm.asm(71): error A2034: must be in segment block
JAAsm.asm(72): error A2034: must be in segment block
JAAsm.asm(73): error A2034: must be in segment block
JAAsm.asm(74): error A2034: must be in segment block
JAAsm.asm(74): error A2088: END directive required at end of file
C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Microsoft\VC\v170\BuildCustomizations\masm.targets(70,5): error MSB3721: The command "ml64.exe /c /nologo /Zi /Fo"x64\Debug\JAAsm.obj" /W3 /errorReport:prompt  /TaJAAsm.asm" exited with code 1.
